idu,nom_com,code_dep,section,numero,area_m2,built_m2,built_pct,zone_name
952560000B1087,Frépillon,95,0B,1087,20130.0,0.0,0.0,ZAE des Epineaux
95527000AK0011,Roissy-en-France,95,AK,0011,25771.0,0.0,0.0,
95572000AL0011,Saint-Ouen-l'Aumône,95,AL,0011,23480.0,0.0,0.0,Zone Industrielle du Vert-Galant
94077000AL0030,Villeneuve-le-Roi,94,AL,0030,20156.0,0.0,0.0,
94074000AI0198,Valenton,94,AI,0198,21518.0,0.0,0.0,
94054000AF0002,Orly,94,AF,0002,20184.0,0.0,0.0,Site de Maintenance et de Remisage du Tramway T9
94028000BS0020,Créteil,94,BS,0020,25065.0,0.0,0.0,
940180000B0225,Charenton-le-Pont,94,0B,0225,23034.0,0.0,0.0,
940730000F0231,Thiais,94,0F,0231,28142.0,0.0,0.0,Sénia-Alouettes
94028000BN0231,Créteil,94,BN,0231,28735.0,0.0,0.0,
940540000A0243,Orly,94,0A,0243,26045.0,0.0,0.0,Sénia - Bas Marin
94019000AR0025,Chennevières-sur-Marne,94,AR,0025,27638.0,0.0,0.0,
94048000AK0026,Marolles-en-Brie,94,AK,0026,25827.0,0.0,0.0,
940110000Q0265,Bonneuil-sur-Marne,94,0Q,0265,24561.0,0.0,0.0,
940110000D0269,Bonneuil-sur-Marne,94,0D,0269,21013.0,0.0,0.0,ZA des Petits Carreaux
94077000AK0003,Villeneuve-le-Roi,94,AK,0003,25000.0,0.0,0.0,
940110000H0198,Bonneuil-sur-Marne,94,0H,0198,25000.0,0.0,0.0,
94019000AR0306,Chennevières-sur-Marne,94,AR,0306,23392.0,0.0,0.0,
94019000AR0307,Chennevières-sur-Marne,94,AR,0307,22042.0,0.0,0.0,
940740000A0314,Valenton,94,0A,0314,28085.0,0.0,0.0,Usine de dépollution des eaux usées Seine Valenton
940110000A0032,Bonneuil-sur-Marne,94,0A,0032,24831.0,0.0,0.0,
94019000AR0032,Chennevières-sur-Marne,94,AR,0032,23328.0,0.0,0.0,
94047000AH0323,Mandres-les-Roses,94,AH,0323,21519.0,0.0,0.0,
94081000DI0035,Vitry-sur-Seine,94,DI,0035,21240.0,0.0,0.0,
94028000BP0039,Créteil,94,BP,0039,21966.0,0.0,0.0,
94077000AK0004,Villeneuve-le-Roi,94,AK,0004,23600.0,0.0,0.0,
94047000AE0040,Mandres-les-Roses,94,AE,0040,20114.0,0.0,0.0,Zone d'Activités Agoparc
940540000L0403,Orly,94,0L,0403,29895.0,0.0,0.0,Sénia - Bas Marin
94028000BL0442,Créteil,94,BL,0442,23060.0,0.0,0.0,
940730000E0151,Thiais,94,0E,0151,25813.0,0.0,0.0,Sénia-Alouettes
94081000DH0067,Vitry-sur-Seine,94,DH,0067,26251.0,0.0,0.0,
940740000A0707,Valenton,94,0A,0707,27001.0,0.0,0.0,Usine de dépollution des eaux usées Seine Valenton
940110000A0075,Bonneuil-sur-Marne,94,0A,0075,29457.0,0.0,0.0,
940740000A0756,Valenton,94,0A,0756,26480.0,0.0,0.0,Usine de dépollution des eaux usées Seine Valenton
94078000AC0079,Villeneuve-Saint-Georges,94,AC,0079,21254.0,0.0,0.0,
94046000BC0008,Maisons-Alfort,94,BC,0008,21965.0,0.0,0.0,Sanofi
940740000A0844,Valenton,94,0A,0844,21998.0,0.0,0.0,Ilot 2
940740000A0845,Valenton,94,0A,0845,26906.0,0.0,0.0,Ilot 2
940110000T0092,Bonneuil-sur-Marne,94,0T,0092,26645.0,0.0,0.0,ZA des Petits Carreaux
94077000AM0094,Villeneuve-le-Roi,94,AM,0094,21260.0,0.0,0.0,
940740000A0942,Valenton,94,0A,0942,28926.0,0.0,0.0,Usine de dépollution des eaux usées Seine Valenton
94070000BB0097,Santeny,94,BB,0097,26322.0,0.0,0.0,Parc d'activité de la Butte Gayen
94081000BD0446,Vitry-sur-Seine,94,BD,0446,22083.0,0.0,0.0,
940650000N0001,Rungis,94,0N,0001,26910.0,0.0,0.0,Paprec Chantiers
94078000AC0108,Villeneuve-Saint-Georges,94,AC,0108,20471.0,0.0,0.0,
94078000AC0119,Villeneuve-Saint-Georges,94,AC,0119,27938.0,0.0,0.0,
94077000AK0122,Villeneuve-le-Roi,94,AK,0122,26991.0,0.0,0.0,
94048000AK0132,Marolles-en-Brie,94,AK,0132,26492.0,0.0,0.0,
940800000J0136,Vincennes,94,0J,0136,21347.0,0.0,0.0,Atelier de Maintenance de Fontenay
94070000BB0014,Santeny,94,BB,0014,29312.0,0.0,0.0,Parc d'activité de la Butte Gayen
94028000BP0155,Créteil,94,BP,0155,26968.0,0.0,0.0,
940440000D0169,Limeil-Brévannes,94,0D,0169,26751.0,0.0,0.0,Sodern
94047000AC0018,Mandres-les-Roses,94,AC,0018,26181.0,0.0,0.0,
940740000C0019,Valenton,94,0C,0019,23465.0,0.0,0.0,Parc d'activités de la Plaine Haute
94077000AI0019,Villeneuve-le-Roi,94,AI,0019,27329.0,0.0,0.0,
95051000AM0290,Beauchamp,95,AM,0290,23591.0,0.0,0.0,ZAE des Marcots et ZI Ouest
95063000AL0256,Bezons,95,AL,0256,25855.0,0.0,0.0,Parc d'Activités des Berges de Seine
954380000C0258,Moussy,95,0C,0258,25102.0,0.0,0.0,
95018000BH0026,Argenteuil,95,BH,0026,20045.0,0.0,0.0,
95527000AK0262,Roissy-en-France,95,AK,0262,23072.0,0.0,0.0,
95612000ZB0268,Le Thillay,95,ZB,0268,28889.0,0.0,0.0,A Park
95063000AL0270,Bezons,95,AL,0270,29457.0,0.0,0.0,Parc d'Activités des Berges de Seine
95116000ZE0278,Bruyères-sur-Oise,95,ZE,0278,21330.0,0.0,0.0,ZAE Les Aubins
95051000AM0285,Beauchamp,95,AM,0285,25638.0,0.0,0.0,ZAE des Marcots et ZI Ouest
95370000ZD0285,Marines,95,ZD,0285,22230.0,0.0,0.0,
95277000ZE0285,Gonesse,95,ZE,0285,22135.0,0.0,0.0,
95116000ZE0286,Bruyères-sur-Oise,95,ZE,0286,28528.0,0.0,0.0,
95116000ZE0288,Bruyères-sur-Oise,95,ZE,0288,24539.0,0.0,0.0,
95280000AY0025,Goussainville,95,AY,0025,20000.0,0.0,0.0,Parc d'activité Charles de Gaulle
95116000ZE0290,Bruyères-sur-Oise,95,ZE,0290,23065.0,0.0,0.0,
955410000C0003,Saint-Clair-sur-Epte,95,0C,0003,25040.0,0.0,0.0,
954590000X0030,Nucourt,95,0X,0030,26051.0,0.0,0.0,Griffine Enduction
951540000B0314,Chennevières-lès-Louvres,95,0B,0314,23528.0,0.0,0.0,Station de pompage SMCA
95280000ZD0325,Goussainville,95,ZD,0325,23437.0,0.0,0.0,Zone d'activité economique du Pont de la Brèche
954380000C0033,Moussy,95,0C,0033,21067.0,0.0,0.0,
95280000ZD0330,Goussainville,95,ZD,0330,25361.0,0.0,0.0,Zone d'activité economique du Pont de la Brèche
95277000ZR0344,Gonesse,95,ZR,0344,20647.0,0.0,0.0,Zone industrielle de la Grande Couture
95371000AI0035,Marly-la-Ville,95,AI,0035,24101.0,0.0,0.0,
95280000ZR0035,Goussainville,95,ZR,0035,21812.0,0.0,0.0,
95572000AC0037,Saint-Ouen-l'Aumône,95,AC,0037,24659.0,0.0,0.0,
953510000A0379,Louvres,95,0A,0379,26412.0,0.0,0.0,
95476000AX0020,Osny,95,AX,0020,23109.0,0.0,0.0,Parc d'Activité des Beaux Soleils
94081000CG0448,Vitry-sur-Seine,94,CG,0448,26822.0,0.0,0.0,
940540000L0455,Orly,94,0L,0455,20483.0,0.0,0.0,Sénia - Bas Marin
94044000AB0464,Limeil-Brévannes,94,AB,0464,21666.0,0.0,0.0,
94073000AK0005,Thiais,94,AK,0005,21198.0,0.0,0.0,Sénia - Bas Marin
95088000ZA0018,Bonneuil-en-France,95,ZA,0018,27700.0,0.0,0.0,Garonor Ouest
95019000AH0188,Arnouville,95,AH,0188,23790.0,0.0,0.0,Les Moulins d’Arnouville
95351000ZA0194,Louvres,95,ZA,0194,24077.0,0.0,0.0,ZAC de la Butte aux Bergers
95572000AN0002,Saint-Ouen-l'Aumône,95,AN,0002,20885.0,0.0,0.0,
95127000AS0002,Cergy,95,AS,0002,27875.0,0.0,0.0,Cité Artisanale Francis Combe
95572000AW0002,Saint-Ouen-l'Aumône,95,AW,0002,29564.0,0.0,0.0,Zone Industrielle d'Epluches
95572000AX0002,Saint-Ouen-l'Aumône,95,AX,0002,22958.0,0.0,0.0,Zone Industrielle d'Epluches
95127000DT0002,Cergy,95,DT,0002,24637.0,0.0,0.0,
91692000BN0238,Les Ulis,91,BN,0238,23479.0,0.0,0.0,
955410000D0201,Saint-Clair-sur-Epte,95,0D,0201,28735.0,0.0,0.0,
95585000AM0204,Sarcelles,95,AM,0204,25869.0,0.0,0.0,
95585000AT0205,Sarcelles,95,AT,0205,23230.0,0.0,0.0,
95052000AB0208,Beaumont-sur-Oise,95,AB,0208,22633.0,0.0,0.0,
95116000ZE0208,Bruyères-sur-Oise,95,ZE,0208,28113.0,0.0,0.0,ZAE Les Aubins
95078000ZB0021,Boissy-l'Aillerie,95,ZB,0021,24460.0,0.0,0.0,
95598000AK0210,Soisy-sous-Montmorency,95,AK,0210,29142.0,0.0,0.0,Zone Industrielle Les Cures
95351000ZA0210,Louvres,95,ZA,0210,22399.0,0.0,0.0,ZAC de la Butte aux Bergers
95116000ZE0224,Bruyères-sur-Oise,95,ZE,0224,21289.0,0.0,0.0,ZAE Les Aubins
95572000AK0023,Saint-Ouen-l'Aumône,95,AK,0023,20647.0,0.0,0.0,Zone Industrielle du Vert-Galant
95018000BW0233,Argenteuil,95,BW,0233,28332.0,0.0,0.0,Parc d'Activités des Berges de Seine
95527000AK0238,Roissy-en-France,95,AK,0238,26574.0,0.0,0.0,
77305000AM0334,Montereau-Fault-Yonne,77,AM,0334,21552.0,0.0,0.0,Parc d'entreprises du Confluent
77381000ZA0031,Quiers,77,ZA,0031,22335.0,0.0,0.0,
771040000A0031,Châtres,77,0A,0031,23395.0,0.0,0.0,
770590000B0312,Bussy-Saint-Martin,77,0B,0312,20181.0,0.0,0.0,ZAE du Gué Langlois
775340000A0314,Yèbles,77,0A,0314,21631.0,0.0,0.0,Les Portes de Yèbles
77445000ZE0314,Savigny-le-Temple,77,ZE,0314,20417.0,0.0,0.0,
77445000ZE0320,Savigny-le-Temple,77,ZE,0320,20475.0,0.0,0.0,
77305000AM0321,Montereau-Fault-Yonne,77,AM,0321,20000.0,0.0,0.0,Parc d'entreprises du Confluent
77251000ZL0321,Lieusaint,77,ZL,0321,21883.0,0.0,0.0,
774950000C3224,Vert-Saint-Denis,77,0C,3224,21422.0,0.0,0.0,
77305000AM0323,Montereau-Fault-Yonne,77,AM,0323,24000.0,0.0,0.0,Parc d'entreprises du Confluent
773060000A0323,Montereau-sur-le-Jard,77,0A,0323,20135.0,0.0,0.0,Safran - Pôle d'activités de Villaroche
77487000AC0327,Vaux-le-Pénil,77,AC,0327,21982.0,0.0,0.0,
77211000ZC0033,Grandpuits-Bailly-Carrois,77,ZC,0033,25000.0,0.0,0.0,
77327000ZA0031,Nangis,77,ZA,0031,24550.0,0.0,0.0,Sucrerie de Nangis
77067000AD0034,Cesson,77,AD,0034,23361.0,0.0,0.0,
77058000AM0034,Bussy-Saint-Georges,77,AM,0034,25709.0,0.0,0.0,Parc Gustave Eiffel
773060000A0344,Montereau-sur-le-Jard,77,0A,0344,23693.0,0.0,0.0,Safran - Site de Montereau
772150000C0346,Gretz-Armainvilliers,77,0C,0346,24102.0,0.0,0.0,
773690000C0346,Poincy,77,0C,0346,20872.0,0.0,0.0,
77307000ZA0353,Montévrain,77,ZA,0353,20135.0,0.0,0.0,Fives
77279000ZN0353,Marolles-sur-Seine,77,ZN,0353,25000.0,0.0,0.0,
773161660E0361,Moret-Loing-et-Orvanne,77,0E,0361,27480.0,0.0,0.0,Provençale SA
770480000H0362,Bourron-Marlotte,77,0H,0362,22841.0,0.0,0.0,
77058000AR0037,Bussy-Saint-Georges,77,AR,0037,25757.0,0.0,0.0,ZAC Léonard de Vinci
77340000ZI0037,Nonville,77,ZI,0037,20143.0,0.0,0.0,Forage pétrolier
774150000W0038,Saint-Jean-les-Deux-Jumeaux,77,0W,0038,28230.0,0.0,0.0,
77279000ZN0293,Marolles-sur-Seine,77,ZN,0293,25000.0,0.0,0.0,
771940000A0027,Forges,77,0A,0027,25647.0,0.0,0.0,
77016000AE0272,Bagneaux-sur-Loing,77,AE,0272,25829.0,0.0,0.0,
773840000Z0273,Réau,77,0Z,0273,28528.0,0.0,0.0,
770590000B0277,Bussy-Saint-Martin,77,0B,0277,25630.0,0.0,0.0,Dépot RER A de Torcy
77470000ZE0277,Tournan-en-Brie,77,ZE,0277,22420.0,0.0,0.0,Zones industrielles la Petite Motte et le Closeau
77445000ZH0280,Savigny-le-Temple,77,ZH,0280,28395.0,0.0,0.0,
77448000ZB0283,Sept-Sorts,77,ZB,0283,24700.0,0.0,0.0,
77284000AE0286,Meaux,77,AE,0286,20920.0,0.0,0.0,
774310000D0029,Saint-Pierre-lès-Nemours,77,0D,0029,25223.0,0.0,0.0,
77146000AD0029,Croissy-Beaubourg,77,AD,0029,21307.0,0.0,0.0,
77258000AI0029,Lognes,77,AI,0029,21094.0,0.0,0.0,
77284000AM0291,Meaux,77,AM,0291,27731.0,0.0,0.0,Chaufferie géothermique de Beauval
773010000C0383,Montceaux-lès-Provins,77,0C,0383,22028.0,0.0,0.0,
77108000BS0297,Chelles,77,BS,0297,20372.0,0.0,0.0,E.A.E. La Tuilerie
77445000BL0003,Savigny-le-Temple,77,BL,0003,24490.0,0.0,0.0,
77211000ZB0003,Grandpuits-Bailly-Carrois,77,ZB,0003,21150.0,0.0,0.0,Raffinerie de Grandpuits
771940000A0030,Forges,77,0A,0030,25257.0,0.0,0.0,
77490000ZD0030,Vendrest,77,ZD,0030,24477.0,0.0,0.0,
77067000BA0302,Cesson,77,BA,0302,22393.0,0.0,0.0,
774820000B0302,Varennes-sur-Seine,77,0B,0302,29784.0,0.0,0.0,
77279000ZN0303,Marolles-sur-Seine,77,ZN,0303,20000.0,0.0,0.0,
773730000A3070,Pontault-Combault,77,0A,3070,28634.0,0.0,0.0,
77181000ZA0309,Ferrières-en-Brie,77,ZA,0309,25384.0,0.0,0.0,Parc d'activité du Nid de Grives
77146000AD0031,Croissy-Beaubourg,77,AD,0031,23100.0,0.0,0.0,
77094000ZA0031,Charmentray,77,ZA,0031,26043.0,0.0,0.0,Casse auto
78168000AR0042,Coignières,78,AR,0042,20025.0,0.0,0.0,Zones d'activités de Pariwest
78551000AZ0037,Saint-Germain-en-Laye,78,AZ,0037,20316.0,0.0,0.0,
784990000A0372,Ponthévrard,78,0A,0372,29256.0,0.0,0.0,
78621000AM0038,Trappes,78,AM,0038,26145.0,0.0,0.0,Legendre
78029000AN0389,Aubergenville,78,AN,0389,26196.0,0.0,0.0,
78310000ZK0039,Houdan,78,ZK,0039,20000.0,0.0,0.0,
78335000BA0393,Limay,78,BA,0393,23327.0,0.0,0.0,Zone industrielle Limay Porcheville
78168000AH0004,Coignières,78,AH,0004,26246.0,0.0,0.0,Zone industrielle du Marais
78220000AH0004,Les Essarts-le-Roi,78,AH,0004,28571.0,0.0,0.0,
78297000AT0004,Guyancourt,78,AT,0004,29766.0,0.0,0.0,Les Sangliers
78005000AB0407,Achères,78,AB,0407,23584.0,0.0,0.0,
